country,alltime_gold,century20_gold,century21_gold
Hungary,378,238,140
Romania,355,211,144
United Kingdom,311,175,136
Bulgaria,308,174,134
United States of America,301,152,149
Poland,276,149,127
Vietnam,271,124,147
Germany,259,127,132
France,228,109,119
People's Republic of China,228,78,150
Islamic Republic of Iran,214,67,147
Canada,210,75,135
Australia,209,77,132
Republic of Korea,206,57,149
Japan,198,52,146
Israel,197,72,125
TÃ¼rkiye,191,53,138
Taiwan,189,44,145
Union of Soviet Socialist Republics,189,189,0
Ukraine,182,41,141
Russian Federation,180,48,132
Hong Kong,173,47,126
India,173,59,114
Singapore,173,42,131
Belarus,166,34,132
Austria,165,105,60
Brazil,164,37,127
Thailand,157,21,136
Italy,156,41,115
German Democratic Republic,148,148,0
Yugoslavia,148,134,14
Kazakhstan,144,15,129
Netherlands,141,59,82
Slovakia,137,32,105
Czechoslovakia,133,133,0
Sweden,131,77,54
Czech Republic,126,31,95
Croatia,123,20,103
Greece,122,36,86
Mexico,121,12,109
Mongolia,121,29,92
Peru,112,5,107
Georgia,110,19,91
Armenia,107,22,85
Argentina,106,30,76
Colombia,102,38,64
Indonesia,97,1,96
Belgium,94,38,56
Serbia,92,0,92
Republic of Moldova,90,10,80
New Zealand,79,24,55
Switzerland,79,13,66
Bosnia and Herzegovina,77,10,67
Spain,74,14,60
Finland,70,36,34
Lithuania,68,9,59
Democratic People's Republic of Korea,67,9,58
Philippines,67,7,60
South Africa,67,15,52
North Macedonia,63,19,44
Norway,61,27,34
Latvia,59,23,36
Malaysia,59,0,59
Saudi Arabia,57,0,57
Azerbaijan,55,4,51
Portugal,53,2,51
Slovenia,51,9,42
Denmark,50,12,38
Estonia,49,7,42
Uzbekistan,47,0,47
Bangladesh,45,0,45
Cuba,45,26,19
Macau,43,2,41
Turkmenistan,41,0,41
Morocco,40,24,16
Tajikistan,33,0,33
Luxembourg,31,15,16
Cyprus,29,6,23
Sri Lanka,26,1,25
Tunisia,26,13,13
Costa Rica,23,0,23
Syria,19,0,19
Kyrgyzstan,17,0,17
Iceland,13,6,7
Ireland,13,4,9
Ecuador,12,0,12
Paraguay,12,0,12
Serbia and Montenegro,12,0,12
Albania,11,0,11
Algeria,11,3,8
Pakistan,11,0,11
Chile,9,1,8
Puerto Rico,9,0,9
El Salvador,7,0,7
Trinidad and Tobago,7,1,6
Venezuela,7,0,7
Commonwealth of Independent States,5,5,0
Liechtenstein,5,0,5
Montenegro,5,0,5
Nigeria,5,0,5
Panama,5,0,5
Nicaragua,4,0,4
Iraq,3,0,3
Kosovo,2,0,2
Uruguay,2,0,2
Bolivia,1,0,1
Ghana,1,0,1
Guatemala,1,0,1
Honduras,1,0,1
Ivory Coast,1,0,1
Kuwait,1,1,0
Oman,1,0,1
United Arab Emirates,1,0,1
